feedstock_key,workbook_label,role,family,origin,ivcs,source_sheet,source_locator,io_mapping,direct_factor_required,treatment,notes
palm_oil_mill_effluent_raw,Imported POME; POME,primary_physical_feedstock,waste_effluent,imported,IVC1 FAME; HEFA route with imported POME,Feedstock MIX per IVC,IVC1 block (row 4); HEFA with imported POME block (rows 119-120),workbook/R mapping: imported food/beverage or agriculture proxy depending route,yes,direct_physical_factor,Raw palm-oil-mill effluent. Keep distinct from palm oil itself and from avoided-methane consequential credits.
tall_oil,Tall oil,primary_physical_feedstock,forest_industry_coproduct,unspecified,IVC2_HVO; IVC2_HEFA,Feedstock MIX per IVC,IVC2 HVO rows 6-7; IVC2 HEFA rows 9-11,workbook mapping requires route-level confirmation,yes,direct_physical_factor,Workbook does not unambiguously say crude tall oil vs distilled tall-oil product; factor boundary must therefore be flagged.
oil_crops_abandoned_degraded,Oil crops abandoned,primary_physical_feedstock,dedicated_nonfood_oil_crop,EU/unspecified,IVC2_HEFA,Feedstock MIX per IVC,"IVC2 HEFA block, row 9",A01 agriculture,yes,direct_physical_factor,Species/form not specified in workbook; use of an oil-crop proxy must be explicit.
winter_wheat_straw,Straw,primary_physical_feedstock,agricultural_residue,EU/unspecified,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118,A01 agriculture,yes,direct_physical_factor,Workbook says straw generically; winter-wheat straw is the current literature proxy.
lignocrops_abandoned_degraded,Lignocrops abandoned degraded,primary_physical_feedstock,dedicated_lignocellulosic_crop,EU/unspecified,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118,A01 agriculture,yes,direct_physical_factor,Generic lignocellulosic crop; miscanthus is used only as an explicit proxy in the factor library.
lignocrops_inter_cover_cropping,Lignocrops inter & cover cropping,primary_physical_feedstock,dedicated_lignocellulosic_crop,EU/unspecified,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118,A01 agriculture,yes,direct_physical_factor,Generic inter/cover-crop lignocellulosic biomass; species not specified.
secondary_forest_residues,Secondary forest residues,primary_physical_feedstock,forest_industry_residue,EU/unspecified,IVC5; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,row 16 and residue-mix blocks through rows 118,C17 paper and paper products,yes,direct_physical_factor,Sawmill/forest-industry by-product is the closest current literature category.
prunings_damaged_crops,Prunings & damaged crops (olive stones excluded),primary_physical_feedstock,agricultural_residue,EU/unspecified,IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,Feedstock MIX per IVC,IVC7 rows 20-28 and residue-mix blocks through rows 118,A01 agriculture,yes,direct_physical_factor,Olive-pruning harvesting LCA is used as the closest directly measured European pruning logistics factor.
agroprocessing_residues,Agroprocessing residues,primary_physical_feedstock,industrial_biowaste,EU/unspecified,IVC7,Feedstock MIX per IVC,IVC7 rows 20-28,"C10-12 food, beverages and tobacco",yes,direct_physical_factor,Generic processing residue; current factor uses a biogenic-waste supply-chain proxy.
animal_manure_raw,Manure,primary_physical_feedstock,agricultural_residue,EU/unspecified,IVC7,Feedstock MIX per IVC,IVC7 rows 20-28,A01 agriculture / animal products,yes,direct_physical_factor,Avoided methane from alternative manure management is deliberately not embedded in the central upstream factor.
