model_biofuel,ivc_id,lhv_mj_per_kg,red_iii_basis,basis_quality,source_id,source_locator,applicability_note
adv_biodiesel,IVC1,37,"Biodiesel (fatty acid methyl ester - FAME)",direct,RED_III_2023,"replacement Annex III","Direct physical-fuel match."
adv_biodiesel,IVC2_HVO,44,"Hydrotreated vegetable oil (diesel)",direct,RED_III_2023,"replacement Annex III","Direct physical-fuel match."
adv_biodiesel,IVC11a_road,44,"Fischer-Tropsch diesel",direct,RED_III_2023,"replacement Annex III","Direct road FT-fuel match."
adv_biodiesel,IVC13a,43,"Co-processed oil replacing diesel",direct,RED_III_2023,"replacement Annex III","Pyrolysis/co-processing road output mapped to the RED III co-processed diesel energy content."
adv_biogasoline,IVC5,27,"Ethanol",direct,RED_III_2023,"replacement Annex III","Cellulosic ethanol route represented in the gasoline-family model product."
adv_biogasoline,IVC12,27,"Ethanol",direct,RED_III_2023,"replacement Annex III","Syngas-fermentation ethanol route represented in the gasoline-family model product."
adv_biogasoline,IVC13a,44,"Co-processed oil replacing petrol",direct,RED_III_2023,"replacement Annex III","Pyrolysis/co-processing petrol fraction."
adv_biogasoline,IVC13b_road,44,"Renewable petrol / hydrocarbon petrol proxy",proxy,RED_III_2023,"replacement Annex III","IVC13b road pool is not separately tabulated in RED III; use the renewable hydrocarbon petrol energy content as an explicit proxy."
adv_biogas,IVC7,50,"Biogas/biomethane (natural-gas quality)",direct,RED_III_2023,"replacement Annex III","Upgraded biomethane."
adv_biogas,IVC9a,50,"Biogas/biomethane (natural-gas quality)",direct,RED_III_2023,"replacement Annex III","Synthetic methane from biomass gasification."
adv_bio_kerosene,IVC2_HEFA,44,"Hydrotreated vegetable oil (jet fuel)",direct,RED_III_2023,"replacement Annex III","HEFA/renewable jet hydrocarbon."
adv_bio_kerosene,IVC6,44,"Renewable synthetic jet fuel",proxy,RED_III_2023,"replacement Annex III","ATJ-SPK is not named separately in Annex III; 44 MJ/kg renewable hydrocarbon jet is used as a transparent proxy."
adv_bio_kerosene,IVC11a_SAF,44,"Fischer-Tropsch jet fuel",direct,RED_III_2023,"replacement Annex III","Direct FT-jet match."
adv_bio_kerosene,IVC13b_SAF,44,"Renewable hydrocarbon jet fuel",proxy,RED_III_2023,"replacement Annex III","Upgraded pyrolysis-oil SAF is not separately tabulated; 44 MJ/kg jet proxy."
adv_bio_hfo,IVC8a,20,"Renewable methanol",direct,RED_III_2023,"replacement Annex III","Biomass gasification to methanol used as maritime-fuel output."
adv_bio_hfo,IVC8b,20,"Renewable methanol",direct,RED_III_2023,"replacement Annex III","Biomethane reforming to methanol used as maritime-fuel output."
adv_bio_hfo,IVC13b_mar,43,"Co-processed/renewable diesel-like hydrocarbon",proxy,RED_III_2023,"replacement Annex III","The maritime pyrolysis-upgrading product is not separately listed; 43 MJ/kg diesel-like hydrocarbon proxy."
RFNBOs,IVC8c,20,"Renewable methanol",direct,RED_III_2023,"replacement Annex III","E-methanol from biogenic CO2 and renewable H2."
RFNBOs,IVC9b,50,"Synthetic methane (natural-gas quality)",direct,RED_III_2023,"replacement Annex III","E-methane from biogenic CO2 and renewable H2."
conv_biodiesel,IVC_T_FF,37,"Biodiesel (FAME)",direct,RED_III_2023,"replacement Annex III","Conventional transesterification."
conv_biodiesel,IVC_HT_FF,44,"Hydrotreated vegetable oil (diesel)",direct,RED_III_2023,"replacement Annex III","Conventional hydrotreatment."
conv_biodiesel,IVC_T_CC,37,"Biodiesel (FAME)",direct,RED_III_2023,"replacement Annex III","Cover-crop transesterification."
conv_biodiesel,IVC_HT_CC,44,"Hydrotreated vegetable oil (diesel)",direct,RED_III_2023,"replacement Annex III","Cover-crop hydrotreatment."
conv_biodiesel,IVC_T_lipids,37,"Biodiesel (FAME)",direct,RED_III_2023,"replacement Annex III","Waste/residual lipid transesterification."
conv_biodiesel,IVC_HT_lipids,44,"Hydrotreated vegetable oil (diesel)",direct,RED_III_2023,"replacement Annex III","Waste/residual lipid hydrotreatment."
conv_biodiesel,IVC_HT_lipids_SAF,44,"Hydrotreated vegetable oil (diesel/jet hydrocarbon)",direct,RED_III_2023,"replacement Annex III","The 2035 S1 source assigns the aviation-tagged UCO/animal-fat hydrotreatment route to the conventional-biodiesel model product; both hydrotreated diesel and jet products use the same 44 MJ/kg RED III lower heating value."
conv_biogasoline,IVC_EF_FF,27,"Ethanol",direct,RED_III_2023,"replacement Annex III","Conventional crop ethanol."
conv_bio_kerosene,IVC_HT_lipids_SAF,44,"Hydrotreated vegetable oil (jet fuel)",direct,RED_III_2023,"replacement Annex III","Conventional/waste lipid HEFA jet route."
conv_bio_kerosene,IVC_HT_CC_SAF,44,"Hydrotreated vegetable oil (jet fuel)",direct,RED_III_2023,"replacement Annex III","Cover-crop HEFA jet route."
