feedstock_key,workbook_label,role,ivcs,direct_factor_required,coverage_status,preferred_factor_id,preferred_factor_value,preferred_factor_unit,quality_flag,available_sensitivity_factor_ids,analysis_ready,remaining_issue_or_caveat,recommended_code_treatment,inventory_source
palm_oil_mill_effluent_raw,Imported POME; POME,primary_physical_feedstock,IVC1 FAME; HEFA route with imported POME,yes,covered_lower_bound_only,pome_cutoff_mill_gate,0,kgCO2e_per_t_raw_POME,lower_bound_boundary_limited,palm_oil_mill_effluent_raw_red_zero,conditional,Numeric result is boundary-limited and should not be interpreted as complete life-cycle burden.,direct_physical_factor,Feedstock MIX per IVC: IVC1 block (row 4); HEFA with imported POME block (rows 119-120)
tall_oil,Tall oil,primary_physical_feedstock,IVC2_HVO; IVC2_HEFA,yes,covered_with_proxy,tall_oil_cashman_europe_proxy,740,kgCO2e_per_t_tall_oil_product,proxy_boundary_mismatch,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: IVC2 HVO rows 6-7; IVC2 HEFA rows 9-11
oil_crops_abandoned_degraded,Oil crops abandoned,primary_physical_feedstock,IVC2_HEFA,yes,covered_with_proxy,oil_crops_abandoned_degraded_cardoon_oil_proxy,1100,kgCO2e_per_t_oil,proxy_species_and_form,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,"Feedstock MIX per IVC: IVC2 HEFA block, row 9"
winter_wheat_straw,Straw,primary_physical_feedstock,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_direct_or_close,straw_parajuli_net_gwp,152,kgCO2e_per_t_DM,direct_literature_internal_source_inconsistency_noted,straw_parajuli_gross_no_soc; straw_red_zero,yes,,direct_physical_factor,Feedstock MIX per IVC: rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118
lignocrops_abandoned_degraded,Lignocrops abandoned degraded,primary_physical_feedstock,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,lignocrops_abandoned_degraded_matschegg2026,68.2,kgCO2e_per_t_feedstock,proxy_species,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118
lignocrops_inter_cover_cropping,Lignocrops inter & cover cropping,primary_physical_feedstock,IVC5; IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,lignocrops_inter_cover_cropping_matschegg2026,68.2,kgCO2e_per_t_feedstock,proxy_species,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: rows 13-16; 20-28; 30-39; IVC9a block; rows 58-78; rows 84-118
secondary_forest_residues,Secondary forest residues,primary_physical_feedstock,IVC5; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,secondary_forest_residues_matschegg2026,26.8,kgCO2e_per_t_feedstock,close_category_proxy,secondary_forest_residues_red_zero,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: row 16 and residue-mix blocks through rows 118
prunings_damaged_crops,Prunings & damaged crops (olive stones excluded),primary_physical_feedstock,IVC7; IVC8a; IVC9a; IVC11a_road; IVC11a_SAF; IVC13a_road; IVC13a_aviation_HFO; IVC13b_road; IVC13b_aviation_HFO,yes,covered_with_proxy,prunings_kougioumtzis2019,36,kgCO2e_per_t_DM,proxy_residue_type,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: IVC7 rows 20-28 and residue-mix blocks through rows 118
agroprocessing_residues,Agroprocessing residues,primary_physical_feedstock,IVC7,yes,covered_with_proxy,agroprocessing_residues_matschegg2026,4.5,kgCO2e_per_t_feedstock,proxy_category,,conditional,"Usable for minimal first pass, but proxy/species/boundary uncertainty should be sensitivity-tested or replaced when more specific data are available.",direct_physical_factor,Feedstock MIX per IVC: IVC7 rows 20-28
animal_manure_raw,Manure,primary_physical_feedstock,IVC7,yes,covered_direct_or_close,animal_manure_raw_matschegg2026,3.9,kgCO2e_per_t_feedstock,direct_category_match,animal_manure_raw_red_zero,yes,,direct_physical_factor,Feedstock MIX per IVC: IVC7 rows 20-28
